disease id	disease label	genes	phenotypes	labels
MONDO:0009640	mitochondrial complex I deficiency	28	37	NDUFB10|NDUFS6|NDUFV1|NDUFA13|TIMMDC1|NDUFB9|NDUFS7|NDUFA1|NDUFB3|FOXRED1|NDUFB11|NDUFAF1|MT-ND2|NDUFS8|TMEM126B|NDUFAF4|MT-ND3|NDUFS2|NDUFAF5|MT-ND1|NDUFAF2|NDUFV2|NDUFA11|NUBPL|NDUFS3|NDUFS4|NDUFAF3|NDUFS1
MONDO:0016815	Leigh syndrome with leukodystrophy	28	30	NDUFA13|PET100|COX15|NDUFAF2|NDUFA2|NDUFS7|SLC19A3|NDUFAF6|TACO1|ECHS1|SDHA|NDUFS4|NDUFV1|LIPT1|NDUFS1|NDUFS3|NDUFA12|FOXRED1|NDUFAF5|NDUFA4|NDUFA10|NDUFS2|NDUFV2|NDUFA9|NDUFS8|MTFMT|SURF1|PDHA1
MONDO:0015993	cone-rod dystrophy	28	6	RPGR|GUCA1A|RAB28|NMNAT1|C8orf37|CACNA1F|CNGA3|TTLL5|PROM1|GUCY2D|SEMA4A|OPN1LW|PRPH2|ADAM9|AIPL1|DRAM2|RPGRIP1|CACNA2D4|CRX|RIMS1|RAX2|OPN1MW|UNC119|POC1B|ABCA4|ATF6|PITPNM3|CDHR1
MONDO:0015447	differentiated thyroid carcinoma	28	0	TRIM24|GAS8-AS1|CCDC6|TRIM33|TRIM27|PPARG|NDUFA13|NTRK1|GOLGA5|TPR|EIF1AX|TFG|DIRC3|FOXE1|KRAS|ALK|RET|NKX2-1|PCM1|NTRK3|ERC1|ETV6|NRAS|BRAF|LPAR4|HRAS|PAX8|NCOA4
MONDO:0023113	familial colorectal cancer	26	5	DLC1|AURKA|EP300|MCC|PLA2G2A|DCC|NRAS|CTNNB1|CCND1|AXIN2|SRC|TLR2|BUB1B|FLCN|ODC1|RAD54B|APC|PTPRJ|PIK3CA|AKT1|MLH3|BAX|PDGFRL|TP53|PTPN12|FGFR3
MONDO:0015802	autosomal dominant non-syndromic intellectual disability	26	0	CIC|GRIN2B|HIVEP2|CAMK2A|TCF4|CLTC|KCNQ5|STXBP1|DEAF1|CHAMP1|EPB41L1|SYNGAP1|CSNK2B|EEF1A2|DYNC1H1|CDH15|PPP3CA|GRIN1|DOCK8|CAMK2B|CACNG2|MBD5|KDM5B|KIF1A|RAB11A|KIRREL3
MONDO:0016419	hereditary breast carcinoma	25	1	KLLN|PHB|RAD54L|ATM|RAD51|BARD1|PALB2|PIK3CA|BRCA2|CDH1|XRCC2|XRCC3|KRAS|HMMR|AKT1|CASP8|BRCA1|TP53|PPM1D|BRIP1|ESR1|RB1CC1|SLC22A18|CHEK2|NQO2
MONDO:0020512	precursor T-cell acute lymphoblastic leukemia	24	0	TLX3|BCR|MLLT10|CNOT3|STIL|MYB|TCL1A|FLT3|TRB|TRG|MYC|SET|TAL1|TLX1|CDKN2A|ZBTB16|DDX3X|TRA|HNRNPH1|PICALM|TRD|ABL1|SALL2|NUP214
MONDO:0019391	Fanconi anemia	22	142	RAD51|SLX4|BRCA2|UBE2T|FANCE|RFWD3|FANCB|RAD51C|MAD2L2|BRCA1|FANCM|BRIP1|FANCL|FANCD2|FANCA|PALB2|ERCC4|XRCC2|FANCF|FANCI|FANCC|FANCG
MONDO:0018800	Kallmann syndrome	22	64	DUSP6|FEZF1|FGF8|FLRT3|CCDC141|FGFR1|FGF17|SOX10|HESX1|IL17RD|SEMA3A|PROKR2|NSMF|WDR11|PROK2|CHD7|DCC|SPRY4|TACR3|KISS1R|ANOS1|HS6ST1
MONDO:0015229	Bardet-Biedl syndrome	22	57	BBS2|BBIP1|NPHP1|TRIM32|BBS9|LZTFL1|TTC8|BBS1|BBS10|BBS4|BBS5|MKS1|BBS7|C8orf37|ARL6|BBS12|WDPCP|IFT172|IFT27|SDCCAG8|CEP290|MKKS
MONDO:0018874	acute myeloid leukemia	21	86	LPP|MLLT10|NUP214|CBFB|SH3GL1|NSD3|CHIC2|KRAS|NSD1|JAK2|KIT|FLT3|CEBPA|PICALM|ETV6|GATA2|DNMT3A|TERT|MLF1|RUNX1|NPM1
MONDO:0008315	prostate cancer	21	84	CHEK2|BRCA2|MSR1|HIP1|RNASEL|MSMB|CDH1|EPHB2|CD82|MAD1L1|KLF6|ELAC2|SRD5A2|HOXB13|PTEN|NBN|BRCA1|AR|ZFHX3|HNF1B|MXI1
MONDO:0015263	Brugada syndrome	21	22	RANGRF|KCNE3|CACNA2D1|SCN3B|CACNA1C|KCNJ8|SCN10A|CALM2|PKP2|GPD1L|HCN4|CACNB2|AKAP9|SCN5A|SLMAP|KCNE5|SCN2B|SCN1B|KCND3|TRPM4|ABCC9
MONDO:0016660	autosomal recessive primary microcephaly	21	16	CEP63|NCAPD3|CENPJ|COPB2|TAF13|PHC1|PYCR2|CEP135|WDR62|STIL|KIF14|CDK5RAP2|SASS6|ASPM|CEP152|MFSD2A|CIT|CDK6|ANKLE2|KNL1|MCPH1
MONDO:0018054	familial atrial fibrillation	21	0	SCN3B|SCN5A|GATA6|NUP155|PITX2|SCN2B|NKX2-5|SCN1B|MYL4|KCNE1|KCNQ1|NPPA|GJA5|NKX2-6|ABCC9|SCN4B|GATA5|KCNA5|GATA4|KCNE2|KCNJ2
MONDO:0020511	precursor B-cell acute lymphoblastic leukemia	21	0	PBX1|AFF1|ABL1|IGH|BCR|KMT2A|FOXP1|GATA3|HLA-C|RUNX1|TCF3|FLT3|IKZF1|PAX5|PIP4K2A|AUTS2|ETV6|TP53|HLF|CDKN2A|PDGFRA
MONDO:0018998	Leber congenital amaurosis	20	25	CEP290|LRAT|RPE65|GUCY2D|RDH12|NMNAT1|IFT140|AIPL1|RD3|RPGRIP1|LCA5|CRX|GDF6|KCNJ13|CRB1|SPATA7|IQCB1|TULP1|IMPDH1|PCYT1A
MONDO:0018772	Joubert syndrome	19	34	TMEM67|ARL13B|TMEM237|TCTN1|KIAA0556|B9D1|ARMC9|PIBF1|HYLS1|CEP120|INPP5E|CEP41|AHI1|KIAA0586|CSPP1|CPLANE1|TCTN2|CEP104|MKS1
MONDO:0015253	Diamond-Blackfan anemia	19	30	RPL35|RPS10|RPL27|RPL35A|RPL11|RPS17|RPS19|RPS26|RPS24|RPS27|RPL26|RPL15|TSR2|RPS7|GATA1|RPS28|RPS29|RPL18|RPL5
MONDO:0011303	focal segmental glomerulosclerosis 1	19	8	PAX2|ARHGAP24|CRB2|NUP205|ANLN|INF2|NPHS1|COQ8B|CD2AP|NPHS2|PLCE1|TRPC6|NUP93|COL4A3|MYO1E|PTPRO|NUP107|WT1|ACTN4
MONDO:0018555	hypogonadotropic hypogonadism	18	36	DUSP6|NSMF|CHD7|TAC3|KISS1R|GNRHR|FGF8|FGFR1|FGF17|GNRH1|WDR11|PROKR2|TACR3|PROK2|SPRY4|ANOS1|KISS1|HS6ST1
MONDO:0020376	early-onset nuclear cataract	18	0	CRYAA|CRYGD|CRYBB1|BFSP1|CRYAB|NHS|WFS1|CRYGC|CRYBB3|GJA8|UNC45B|GJA3|FYCO1|CRYBB2|CRYBA1|CRYBA2|MIP|EPHA2
MONDO:0009068	cytochrome-c oxidase deficiency disease	17	92	PET117|COA3|COX6B1|SCO1|COX5A|APOPT1|PET100|TACO1|COX8A|COX14|MT-CO1|FASTKD2|COX10|MT-CO2|MT-CO3|COA7|COX20
MONDO:0008646	long QT syndrome 1	16	6	SCN4B|CAV3|CALM1|SNTA1|CALM2|SCN10A|TRDN|KCNQ1|KCNE1|ANK2|SCN5A|AKAP9|NOS1AP|KCNE2|KCNJ5|KCNH2
MONDO:0008903	lung cancer	16	1	ERBB2|PPP2R1B|PGBD3|CASP8|CYP2A6|KRAS|FASLG|BRAF|RASSF1|DLEC1|PRKN|SLC22A18|PIK3CA|IRF1|MAP3K8|EGFR
MONDO:0017219	microform holoprosencephaly	16	0	FOXH1|DLL1|SIX3|CDON|GLI2|PTCH1|SUFU|TGIF1|TDGF1|NODAL|SHH|FGF8|GAS1|ZIC2|FGFR1|DISP1
MONDO:0021024	malaria, susceptibility to	16	0	CISH|FCGR2A|ACKR1|TIRAP|ICAM1|FCGR2B|NOS2|GYPB|TNF|G6PD|HBB|CD36|CR1|GYPC|GYPA|SLC4A1
MONDO:0018921	Meckel syndrome	15	43	MKS1|TMEM107|CSPP1|B9D2|TMEM67|CEP290|TMEM231|TMEM216|RPGRIP1|CEP55|B9D1|RPGRIP1L|TCTN2|CC2D2A|WDPCP
MONDO:0009723	Leigh syndrome	15	28	NDUFA10|NDUFA9|BCS1L|NDUFS3|NDUFAF6|NDUFS8|SDHA|SURF1|NDUFA2|NDUFS7|FOXRED1|COX15|NDUFA12|NDUFS4|COX10
MONDO:0016293	congenital stationary night blindness	15	8	RHO|TRPM1|GRM6|PDE6B|GNAT1|GPR179|NYX|CACNA1F|CABP4|LRIT3|SAG|GRK1|GNB3|SLC24A1|CACNA2D4
MONDO:0011122	obesity (disease)	15	2	UCP1|PPARG|SIM1|ADRB3|ADRB2|UCP3|PPARGC1B|CARTPT|ENPP1|NR0B2|AGRP|SDC3|MC4R|POMC|GHRL
MONDO:0016355	Semilobar holoprosencephaly	15	0	FGFR1|DLL1|ZIC2|TGIF1|TDGF1|CDON|FOXH1|GAS1|GLI2|NODAL|PTCH1|SHH|FGF8|SIX3|DISP1
MONDO:0021548	total early-onset cataract	15	0	SIPA1L3|GCNT2|LEMD2|EPHA2|FYCO1|CRYBB2|CRYAA|AGK|HSF4|LIM2|GJA8|CRYGB|LSS|MIP|NHS
MONDO:0019756	lobar holoprosencephaly	15	0	FOXH1|CDON|SHH|DLL1|FGF8|PTCH1|DISP1|TDGF1|GAS1|ZIC2|TGIF1|NODAL|FGFR1|SIX3|GLI2
MONDO:0007191	Behcet disease	14	180	STAT4|ERAP1|IL10|FAS|UBAC2|TLR4|CCR1|MEFV|HLA-B|IL12A|IL12A-AS1|KLRC4|C4A|IL23R
MONDO:0010789	MELAS syndrome	14	155	MT-ND1|MT-ND5|MT-ND4|MT-TF|MT-CO2|MT-TQ|MT-TL1|MT-TS2|MT-CO3|MT-TS1|MT-TW|MT-TH|MT-ND6|MT-CO1
MONDO:0019523	Walker-Warburg syndrome	14	48	POMT1|POMGNT1|POMK|DAG1|POMGNT2|B3GALNT2|FKTN|COL4A1|RXYLT1|B4GAT1|POMT2|FKRP|ISPD|LARGE1
MONDO:0019625	familial thoracic aortic aneurysm and aortic dissection	14	39	MYH11|TGFB3|TGFBR1|ACTA2|MYLK|TGFB2|PRKG1|FBN1|MFAP5|ELN|TGFBR2|SMAD3|LOX|FOXE3
MONDO:0008345	idiopathic pulmonary fibrosis	14	29	ATP11A|SFTPC|STN1|RTEL1|SFTPA1|SFTPA2|TERC|TERT|PARN|DSP|FAM13A|ABCA3|DPP9|MUC5B
MONDO:0003582	hereditary breast ovarian cancer syndrome	14	7	TP53|RAD51|MRE11|RAD51D|PALB2|RAD50|RAD51C|BRIP1|PTEN|NBN|BARD1|CHEK2|BRCA1|BRCA2
MONDO:0018901	left ventricular noncompaction	14	1	PLEKHM2|DTNA|TPM1|MYBPC3|ACTC1|LDB3|LMNA|MYH7|MYH7B|MIB2|TNNT2|PRDM16|PKP2|MIB1
MONDO:0004951	susceptibility to HIV infection	14	0	TLR3|CCL11|IL4R|IL10|CX3CR1|IFNG|CD209|CCL3|CXCR1|HLA-C|CXCL12|KIR3DL1|CCL2|CCL3L1
MONDO:0017218	septopreoptic holoprosencephaly	14	0	SIX3|CDON|TGIF1|GAS1|TDGF1|PTCH1|GLI2|NODAL|SHH|FGF8|ZIC2|FOXH1|DLL1|DISP1
MONDO:0019758	midline interhemispheric variant of holoprosencephaly	14	0	CDON|DLL1|PTCH1|FGF8|NODAL|GLI2|GAS1|SHH|DISP1|TDGF1|ZIC2|TGIF1|SIX3|FOXH1
MONDO:0019757	alobar holoprosencephaly	14	0	FOXH1|CDON|DLL1|SHH|NODAL|PTCH1|GAS1|TGIF1|DISP1|TDGF1|GLI2|ZIC2|SIX3|FGF8
MONDO:0018997	Noonan syndrome	13	159	RRAS|RIT1|KAT6B|BRAF|NRAS|A2ML1|KRAS|SOS2|RAF1|RASA2|SOS1|LZTR1|PTPN11
MONDO:0019609	Zellweger syndrome	13	98	PEX10|PEX19|PEX12|PEX1|PEX11B|PEX26|PEX14|PEX3|PEX13|PEX2|PEX6|PEX5|PEX16
MONDO:0018598	neonatal adrenoleukodystrophy	13	28	PEX11B|PEX14|PEX3|PEX12|PEX2|PEX26|PEX13|PEX16|PEX10|PEX5|PEX1|PEX6|PEX19
MONDO:0019174	infantile Refsum disease	13	25	PEX19|PEX12|PEX16|PEX26|PEX11B|PEX14|PEX6|PEX1|PEX3|PEX2|PEX10|PEX13|PEX5
MONDO:0018097	West syndrome	13	6	SCN2A|STXBP1|SIK1|ST3GAL3|GRIN2B|SPTAN1|PLCB1|PIGA|ARX|NTRK2|CNPY3|GUF1|CDKL5
MONDO:0018393	male infertility with azoospermia or oligozoospermia due to single gene mutation	13	4	TEX15|SOHLH1|TAF4B|NR5A1|CFTR|TDRD9|KLHL10|MEIOB|NANOS1|ZMYND15|TEX11|SYCP3|SYCE1
MONDO:0018911	maturity-onset diabetes of the young (disease)	13	1	PAX4|NEUROD1|APPL1|KCNJ11|KLF11|BLK|HNF1A|ABCC8|PDX1|CEL|GCK|HNF4A|INS
MONDO:0012039	myocardial infarction, susceptibility to	13	0	ITGB3|PSMA6|F7|ESR1|MIAT|TNFSF4|F13A1|LRP8|GCLC|LTA|GCLM|OLR1|LGALS2
MONDO:0016682	giant cell glioblastoma	12	55	TACC1|NFKBIA|TACC3|FGFR3|LZTR1|MGMT|IDH1|PPARG|SEPT14|FGFR1|EGFR|TP53
MONDO:0017366	hereditary pheochromocytoma-paraganglioma	12	39	SDHAF2|SDHA|MDH2|KIF1B|MAX|SDHC|VHL|SDHB|TMEM127|RET|FH|SDHD
MONDO:0020344	postsynaptic congenital myasthenic syndrome	12	32	DOK7|CHRNE|AK9|MUSK|CHRND|LRP4|COL13A1|AGRN|SCN4A|CHRNA1|RAPSN|CHRNB1
MONDO:0016681	gliosarcoma	12	16	TACC1|FGFR3|LZTR1|NFKBIA|TACC3|PPARG|MGMT|IDH1|TP53|EGFR|FGFR1|SEPT14
MONDO:0018961	familial melanoma	12	11	BAP1|POT1|ACD|MC1R|CDKN2A|MGMT|CDKN2D|TERF2IP|TERT|CDKN2B|MITF|CDK4
MONDO:0005486	tooth agenesis	12	7	TGFA|FGFR1|WNT10A|AXIN2|PAX9|MSX1|LRP6|WNT10B|IRF6|EDARADD|SUMO1|EDA
MONDO:0005090	schizophrenia (disease)	12	5	MTHFR|AKT1|APOL2|RTN4R|DRD3|SYN2|CHI3L1|HTR2A|APOL4|DAOA|DISC2|COMT
MONDO:0017403	familial isolated arrhythmogenic ventricular dysplasia, right dominant form	12	0	JUP|CTNNA3|DSP|PKP2|DSG2|TGFB3|DSC2|LMNA|LDB3|TMEM43|RYR2|TTN
MONDO:0017402	familial isolated arrhythmogenic ventricular dysplasia, biventricular form	12	0	TMEM43|PKP2|DSG2|CTNNA3|TGFB3|DSP|DSC2|LMNA|JUP|RYR2|LDB3|TTN
MONDO:0017401	familial isolated arrhythmogenic ventricular dysplasia, left dominant form	12	0	TMEM43|DSP|JUP|TGFB3|CTNNA3|RYR2|LDB3|DSC2|PKP2|DSG2|TTN|LMNA
MONDO:0015780	dyskeratosis congenita	11	83	RTEL1|TERC|NHP2|WRAP53|TERT|TINF2|NOP10|DKC1|USB1|CTC1|PARN
MONDO:0015517	common variable immunodeficiency	11	82	PRKCD|NFKB1|MS4A1|CD19|ICOS|TNFRSF13B|TNFRSF13C|NFKB2|CD81|TNFSF12|CR2
MONDO:0016021	early infantile epileptic encephalopathy	11	75	SCN2A|PNKP|CASK|GNAO1|PIGP|SLC25A22|SIK1|ARX|STXBP1|CDKL5|PIGQ
MONDO:0005835	Lynch syndrome	11	63	PIK3CA|TGFBR2|MSH6|EPCAM|MLH3|MSH2|PMS2|FAN1|PMS1|KRAS|MLH1
MONDO:0010788	Leber hereditary optic neuropathy	11	51	MT-ND6|MT-CO1|MT-ND5|MT-ND1|MT-CO3|MT-ND4L|NDUFS2|MT-ND4|MT-ATP6|MT-CYB|MT-ND2
MONDO:0008542	tetralogy of fallot	11	51	ZFPM2|NKX2-5|GATA6|GATA4|TBX1|CITED2|GJA5|GATA5|CERS1|JAG1|NKX2-6
MONDO:0016674	46,XY partial gonadal dysgenesis	11	38	WWOX|MAP3K1|NR0B1|SRY|NR5A1|ZFPM2|GATA4|VAMP7|WT1|DMRT3|SOX9
MONDO:0009804	osteogenesis imperfecta type 3	11	25	SERPINH1|PPIB|SERPINF1|COL1A1|P3H1|CREB3L1|BMP1|FKBP10|WNT1|CRTAP|COL1A2
MONDO:0007781	essential hypertension, genetic	11	3	NOS2|CYP3A5|NOS3|PTGIS|AGT|RGS5|ATP1B1|AGTR1|ECE1|ADD1|GNB3
MONDO:0018611	early-onset lamellar cataract	11	0	CRYBA1|MIP|BFSP2|CRYGC|CRYBA4|CRYGB|CRYAB|CRYGS|CRYGD|HSF4|CRYAA
MONDO:0011940	mycobacterium tuberculosis, susceptibility to	11	0	IFNG|SLC11A1|IRGM|CCL2|MC3R|SP110|TIRAP|IFNGR1|CD209|TLR2|CISH
MONDO:0016814	maternally-inherited Leigh syndrome	11	0	MT-ND5|MT-TW|MT-ND6|MT-ND4|MT-ND2|MT-TV|MT-ATP6|MT-TK|MT-ND3|MT-TL1|MT-ND1
MONDO:0020345	presynaptic congenital myasthenic syndrome	10	66	SLC25A1|CHAT|COL13A1|SLC5A7|VAMP1|SLC18A3|MYO9A|AGRN|SYT2|SNAP25
MONDO:0004948	B-cell chronic lymphocytic leukemia	10	58	IGHV3-21|CCND1|ATM|RPS15|TP53|IGHG1|IKZF3|ARL11|P2RX7|POT1
MONDO:0010790	MERRF syndrome	10	28	MT-TS2|MT-TQ|MT-TK|MT-TS1|MT-RNR1|MT-ND5|MT-TH|MT-TL1|MT-TP|MT-TF
MONDO:0018770	Jeune syndrome	10	24	IFT80|CEP120|IFT140|TTC21B|DYNC2H1|WDR60|WDR19|WDR34|IFT172|DYNC2LI1
MONDO:0017842	Senior-Loken syndrome	10	15	INVS|TRAF3IP1|IQCB1|CEP164|NPHP1|CEP290|NPHP4|SDCCAG8|WDR19|NPHP3
MONDO:0008148	osteogenesis imperfecta type 4	10	13	COL1A1|PPIB|WNT1|SPARC|SP7|SERPINF1|COL1A2|FKBP10|TMEM38B|CRTAP
MONDO:0012883	acute promyelocytic leukemia	10	2	ZBTB16|NUMA1|PML|STAT5B|TBL1XR1|RARA|NABP1|NPM1|FIP1L1|PRKAR1A
MONDO:0010940	inherited susceptibility to asthma	10	1	HNMT|MUC7|ADRB2|IL13|PLA2G7|TNF|CCL11|HLA-G|ALOX5|SCGB3A2
MONDO:0015448	mitochondrial complex III deficiency	10	0	LYRM7|MT-CYB|UQCRC2|UQCRB|BCS1L|UQCC3|UQCC2|CYC1|UQCRQ|TTC19
MONDO:0017279	young-onset Parkinson disease	10	0	VPS13C|HTRA2|PINK1|PARK7|LRRK2|SNCA|DNAJC6|PRKN|PODXL|UCHL1
MONDO:0007256	hepatocellular carcinoma	9	138	APC|CASP8|CTNNB1|IGF2R|AXIN1|PDGFRL|TP53|MET|PIK3CA
MONDO:0018923	22q11.2 deletion syndrome	9	119	HIRA|SEC24C|JMJD1C|TBX1|COMT|ARVCF|RREB1|GP1BB|UFD1
MONDO:0017160	behavioral variant of frontotemporal dementia	9	38	TREM2|PSEN1|CHMP2B|C9orf72|VCP|GRN|SQSTM1|MAPT|TMEM106B
MONDO:0010765	46,XY complete gonadal dysgenesis	9	36	NR0B1|SRY|DMRT1|CBX2|WT1|DHH|SOX9|MAP3K1|NR5A1
MONDO:0011338	Omenn syndrome	9	35	CHD7|RAG1|IL2RG|LIG4|ADA|DCLRE1C|RAG2|IL7R|RMRP
MONDO:0015278	familial pancreatic carcinoma	9	26	PALB2|PALLD|BRCA2|TP53|STK11|CDKN2A|SMAD4|BRCA1|KRAS
MONDO:0019342	Seckel syndrome	9	25	PLK4|RBBP8|CENPE|PCNT|CENPJ|CEP152|TRAIP|ATRIP|ATR
MONDO:0017778	lamellar ichthyosis	9	22	CYP4F22|ABCA12|ALOX12B|ALOXE3|SDR9C7|NIPAL4|TGM1|SULT2B1|LIPN
MONDO:0011430	pulverulent cataract	9	6	VIM|GJA8|GJA3|CRYBB1|CRYGD|CRYGC|BFSP2|CRYBB2|MAF
MONDO:0016044	cleft lip/palate	9	0	TP63|DLG1|DLX4|IRF6|BMP4|NECTIN1|ARHGAP29|MSX1|CDH1
MONDO:0016216	adult hepatocellular carcinoma	9	0	TSC1|PIK3CA|AXIN1|TP53|EGF|CASP8|CTNNB1|TSC2|PDGFRL
MONDO:0008678	Williams syndrome	8	260	RFC2|ELN|GTF2I|TBL2|CLIP2|LIMK1|GTF2IRD1|BAZ1B
MONDO:0001056	gastric cancer	8	120	IRF1|KLF6|MUTYH|APC|PIK3CA|FGFR2|ERBB2|CASP10
MONDO:0016063	Cowden disease	8	98	PTEN|SDHC|KLLN|PIK3CA|SDHB|SDHD|SEC23B|AKT1
MONDO:0005388	primary biliary cholangitis	8	86	IRF5|SPIB|MMEL1|POU2AF1|TNFSF15|IL12RB1|IL12A|TNPO3
MONDO:0019004	kidney Wilms tumor	8	84	REST|TRIP13|GPC3|H19|DIS3L2|POU6F2|BRCA2|WT1
MONDO:0018309	Hirschsprung disease	8	68	SEMA3D|GDNF|EDNRB|NRTN|ECE1|RET|SEMA3C|EDN3
MONDO:0015452	Coffin-Siris syndrome	8	56	ARID1B|SMARCA4|ARID1A|DPF2|ARID2|SMARCE1|SOX11|SMARCB1
MONDO:0009711	congenital fiber-type disproportion myopathy	8	54	MYL2|TPM3|HACD1|TPM2|ITGA7|ACTA1|MAP3K20|SELENON
MONDO:0011096	autosomal agammaglobulinemia	8	35	IGHM|TCF3|BLNK|CD79B|PIK3R1|CD79A|LRRC8A|IGLL1
MONDO:0015059	progressive non-fluent aphasia	8	29	TREM2|VCP|CHMP2B|GRN|MAPT|C9orf72|PSEN1|TMEM106B
